Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Release Date	WGS project accession
GCA_003829775.2	dark-eyed_junco_22Sep2020_assembly	Junco hyemalis				carolinensis				1031523570	Chromosome	2022-06-02	QZWM02
GCA_023634155.1	bFalPer1.pri	Falco peregrinus					bFalPer1	female		1311580791	Chromosome	2022-06-02	JAMOAR01
GCF_023634155.1	bFalPer1.pri	Falco peregrinus					bFalPer1	female	GCF_023634155.1-RS_2023_04	1311580791	Chromosome	2022-06-02	JAMOAR01
GCA_015227805.3	bHirRus1.pri.v3	Hirundo rustica					bHirRus1	female		1105955550	Chromosome	2021-11-30	JADDRP03
GCF_015227805.2	bHirRus1.pri.v3	Hirundo rustica					bHirRus1	female	GCF_015227805.2-RS_2023_07	1105955550	Chromosome	2021-11-30	JADDRP03
GCA_023634085.1	bFalChe1.pri	Falco cherrug					bFalChe1	female		1309366964	Chromosome	2022-06-02	JAMOAL01
GCF_023634085.1	bFalChe1.pri	Falco cherrug					bFalChe1	female	GCF_023634085.1-RS_2023_04	1309366964	Chromosome	2022-06-02	JAMOAL01
GCA_027477595.1	bHaeMex1.pri	Haemorhous mexicanus					bHaeMex1	female		1148216196	Chromosome	2022-12-29	JAPYKC01
GCA_012275295.1	bMelUnd1.mat.Z	Melopsittacus undulatus					bMelUnd1	female		1171617451	Chromosome	2020-04-13	JAAVWG01
GCF_012275295.1	bMelUnd1.mat.Z	Melopsittacus undulatus					bMelUnd1	female	NCBI Annotation Release 104	1171617451	Chromosome	2020-04-13	JAAVWG01
GCA_003957555.2	bCalAnn1_v1.p	Calypte anna					BGI_N300	female		1059687259	Chromosome	2019-05-17	RRCD01
GCF_003957555.1	bCalAnn1_v1.p	Calypte anna					BGI_N300	female	NCBI Annotation Release 101	1059687259	Chromosome	2019-05-16	RRCD01
GCA_001700915.1	Passer_domesticus-1.0	Passer domesticus					8887266	female		1042703894	Chromosome	2016-08-31	MBAE01
GCA_014839755.1	bSylBor1.pri	Sylvia borin					bSylBor1	male		1045652180	Chromosome	2020-10-02	JACEWE01
GCA_017976375.1	bCucCan1.pri	Cuculus canorus					bCucCan1	female		1180136575	Chromosome	2021-04-15	JAGIYT01
GCF_017976375.1	bCucCan1.pri	Cuculus canorus					bCucCan1	female	GCF_017976375.1-RS_2023_02	1180136575	Chromosome	2021-04-15	JAGIYT01
GCA_028389875.1	bPtePen1.pri	Rhea pennata					bPtePen1	male		1269000025	Chromosome	2023-02-06	JAQOLV01
GCA_014839835.1	bDryPub1.pri	Dryobates pubescens					bDryPub1	female		1187939694	Chromosome	2020-10-02	JACNMV01
GCF_014839835.1	bDryPub1.pri	Dryobates pubescens					bDryPub1	female	GCF_014839835.1-RS_2023_03	1187939694	Chromosome	2020-10-02	JACNMV01
GCA_929443795.1	bAccGen1.1	Accipiter gentilis								1398011397	Chromosome	2022-02-09	CAKNBG01
GCF_929443795.1	bAccGen1.1	Accipiter gentilis							GCF_929443795.1-RS_2023_02	1398011397	Chromosome	2022-02-09	CAKNBG01
GCA_015220075.1	bFalRus1.pri	Falco rusticolus					bFalRus1	female		1195829278	Chromosome	2020-11-03	JADCQO01
GCF_015220075.1	bFalRus1.pri	Falco rusticolus					bFalRus1	female	NCBI Annotation Release 100	1195829278	Chromosome	2020-11-03	JADCQO01
GCA_009819885.2	bCatUst1.pri.v2	Catharus ustulatus					bCatUst1	female		1131616530	Chromosome	2020-12-22	WNMQ02
GCF_009819885.2	bCatUst1.pri.v2	Catharus ustulatus					bCatUst1	female	NCBI Annotation Release 101	1131616530	Chromosome	2020-12-22	WNMQ02
GCA_002078875.2	NumMel1.0	Numida meleagris	g44 Domestic line				19003	male		1043247365	Chromosome	2017-06-01	MTSP01
GCF_002078875.1	NumMel1.0	Numida meleagris	g44 Domestic line				19003	male	NCBI Annotation Release 100	1043247365	Chromosome	2017-06-01	MTSP01
GCA_023343835.1	bLagMut1 primary	Lagopus muta					bLagMut1	female		1026755127	Chromosome	2022-05-12	JAMCCT01
GCF_023343835.1	bLagMut1 primary	Lagopus muta					bLagMut1	female	NCBI Annotation Release 100	1026755127	Chromosome	2022-05-12	JAMCCT01
GCA_009819775.1	bPhoRub2.pri	Phoenicopterus ruber ruber					bPhoRub2	female		1246226932	Chromosome	2019-12-31	WNMK01
GCA_029042245.1	ASM2904224v1	Aythya marila					BB-2018	male		1135194460	Chromosome	2023-03-15	JAOQIG01
GCA_028858705.1	bGruAme1.mat	Grus americana					bGruAme1	male		1257821324	Chromosome	2023-02-24	JARBUS01
GCF_028858705.1	bGruAme1.mat	Grus americana					bGruAme1	male	GCF_028858705.1-RS_2023_03	1257821324	Chromosome	2023-02-24	JARBUS01
GCA_023638135.1	bFalBia1.pri	Falco biarmicus					bFalBia1	female		1285492283	Chromosome	2022-06-02	JAMOAT01
GCF_023638135.1	bFalBia1.pri	Falco biarmicus					bFalBia1	female	GCF_023638135.1-RS_2023_05	1285492283	Chromosome	2022-06-02	JAMOAT01
GCA_020740725.1	bCorHaw1.pri.cur	Corvus hawaiiensis					bCorHaw1	female		1151594481	Chromosome	2021-11-04	JAJGSY01
GCF_020740725.1	bCorHaw1.pri.cur	Corvus hawaiiensis					bCorHaw1	female	NCBI Annotation Release 100	1151594481	Chromosome	2021-11-04	JAJGSY01
GCA_020745825.3	Agelaius phoeniceus 1.1	Agelaius phoeniceus					BioBank_ID:100140	female		1188530404	Chromosome	2023-03-15	JAIWQD01
GCF_020745825.1	Agelaius phoeniceus 1.1	Agelaius phoeniceus					BioBank_ID:100140	female	GCF_020745825.1-RS_2023_03	1188530404	Chromosome	2023-03-15	JAIWQD01
GCA_026419915.1	bHarHar1 primary haplotype	Harpia harpyja					bHarHar1	female		1351447071	Chromosome	2022-11-27	JAPMHW01
GCF_026419915.1	bHarHar1 primary haplotype	Harpia harpyja					bHarHar1	female	GCF_026419915.1-RS_2023_02	1351447071	Chromosome	2022-11-27	JAPMHW01
GCA_026979565.1	bVidCha1 merged haplotype	Vidua chalybeata					OUT-0048	female		1080440577	Chromosome	2022-12-21	JAPVQZ01
GCF_026979565.1	bVidCha1 merged haplotype	Vidua chalybeata					OUT-0048	female	GCF_026979565.1-RS_2023_03	1080440577	Chromosome	2022-12-21	JAPVQZ01
GCA_027474245.1	bSphHub1.pri	Spheniscus humboldti					bSphHub1	female		1358357718	Chromosome	2022-12-28	JAPZLJ01
GCA_012460135.3	BPBGC_Mater_1.1	Molothrus ater	brown headed cowbird				BHLD 08-10-18	female		1087219985	Chromosome	2022-10-11	JAAQZI01
GCF_012460135.2	BPBGC_Mater_1.1	Molothrus ater	brown headed cowbird				BHLD 08-10-18	female	GCF_012460135.2-RS_2023_03	1087219985	Chromosome	2022-10-11	JAAQZI01
GCA_009650955.1	bCorMon1.pri	Corvus moneduloides					bCorMon1	female		1112734094	Chromosome	2019-11-14	WHPO01
GCF_009650955.1	bCorMon1.pri	Corvus moneduloides					bCorMon1	female	NCBI Annotation Release 100	1112734094	Chromosome	2019-11-14	WHPO01
GCA_030490865.1	bPoeAtr1.hap1	Poecile atricapillus					bPoeAtr1	female		1251116877	Chromosome	2023-07-18	JAUKOI01
GCA_027559615.1	bAcrTri1.pri	Acridotheres tristis					bArcTri1	female		1193400391	Chromosome	2023-01-09	JAPZMO01
GCA_008360975.2	HeHo_2.0	Lichenostomus cassidix					B80296	female		1102944376	Chromosome	2022-02-11	VLJF02
GCA_025583725.1	ASM2558372v1	Anser indicus					BHG01	female		1129455536	Chromosome	2022-10-06	JANSVC01
GCA_903797595.2	bEriRub2.2	Erithacus rubecula								1086738418	Chromosome	2021-05-03	CAIGJR02
GCA_000247815.2	FicAlb1.5	Ficedula albicollis					OC2	male		1118326800	Chromosome	2013-06-27	AGTO02
GCF_000247815.1	FicAlb1.5	Ficedula albicollis					OC2	male	NCBI Annotation Release 101	1118326800	Chromosome	2013-06-27	AGTO02
GCA_015220805.1	bPogPus1.pri	Pogoniulus pusillus					bPogPus1	female		1272338968	Chromosome	2020-11-03	JADCQK01
GCA_005870125.1	lonStrDom2	Lonchura striata domestica					Mets1	male		1060252993	Chromosome	2019-06-05	SWKX01
GCF_005870125.1	lonStrDom2	Lonchura striata domestica					Mets1	male	NCBI Annotation Release 101	1060252993	Chromosome	2019-06-05	SWKX01
GCA_000738735.5	ASM73873v5	Corvus cornix cornix					S_Up_H32	male		1030864775	Chromosome	2021-02-04	JPSR04
GCF_000738735.5	ASM73873v5	Corvus cornix cornix					S_Up_H32	male	NCBI Annotation Release 104	1030864775	Chromosome	2021-02-04	JPSR04
GCA_015832195.1	Motacilla_alba_V1.0_pri	Motacilla alba alba					MOTALB_02	male		1072653902	Chromosome	2020-12-08	JACXWE01
GCF_015832195.1	Motacilla_alba_V1.0_pri	Motacilla alba alba					MOTALB_02	male	NCBI Annotation Release 100	1072653902	Chromosome	2020-12-08	JACXWE01
GCA_015532645.2	FrCoel.v2	Fringilla coelebs coelebs					17-825			994865760	Chromosome	2021-06-16	JADKPM02
GCA_026413225.1	OTswu	Otis tarda					OTA-swuaves1	male		1198259872	Chromosome	2022-11-27	JAPMTP01
GCA_028858755.1	bAraAra1.hap1	Ara ararauna					bAraAra1	male		1224360198	Chromosome	2023-02-24	JAQZCJ01
GCA_020745775.1	bTheCae1.pri.cur	Theristicus caerulescens					bTheCae1	female		1203353649	Chromosome	2021-11-05	JAJGSR01
GCA_907165065.1	bCapEur3.1	Caprimulgus europaeus								1177791212	Chromosome	2021-05-17	CAJRAV01
GCA_026413565.1	ASM2641356v1	Aythya baeri					LZ_2022	male		1144760485	Chromosome	2022-11-27	JAKRSJ01
GCA_013377495.2	CAtr_DNAZoo_HiC_assembly	Cygnus atratus				Queensland, Australia	AKBS03	male		1124217020	Chromosome	2022-08-03	JABXOC02
GCF_013377495.2	CAtr_DNAZoo_HiC_assembly	Cygnus atratus				Queensland, Australia	AKBS03	male	GCF_013377495.2-RS_2023_02	1124217020	Chromosome	2022-08-03	JABXOC02
GCA_020740795.1	bApuApu2.pri.cur	Apus apus					bApuApu2	female		1100361224	Chromosome	2021-11-04	JAJGQY01
GCF_020740795.1	bApuApu2.pri.cur	Apus apus					bApuApu2	female	GCF_020740795.1-RS_2023_02	1100361224	Chromosome	2021-11-04	JAJGQY01
GCA_017639555.1	bCicMag1.pri	Ciconia maguari					bCicMag1	female		1239415939	Chromosome	2021-03-30	JAGFVN01
GCA_013407035.1	ASM1340703v1	Coloeus monedula					S_Up_J01	male		1035863955	Chromosome	2020-07-13	JABDSK01
GCA_013368605.1	bNycGra1.pri	Nyctibius grandis					bNycGra1	female		1256393467	Chromosome	2020-06-23	JABXNV01
GCA_009819605.1	bSteHir1.pri	Sterna hirundo					bSteHir1	female		1229953488	Chromosome	2019-12-31	WNMW01
GCA_020745705.1	bHemCom1.pri.cur	Hemiprocne comata					bHemCom1	female		1164793941	Chromosome	2021-11-05	JAJGQW01
GCA_009829145.1	bChiLan1.pri	Chiroxiphia lanceolata					bChiLan1	female		1089631598	Chromosome	2020-01-03	WNMC01
GCF_009829145.1	bChiLan1.pri	Chiroxiphia lanceolata					bChiLan1	female	NCBI Annotation Release 100	1089631598	Chromosome	2020-01-03	WNMC01
GCA_008658365.1	bAlcTor1 primary	Alca torda					2006_11_07_Graehlm_vinge_78	male		1178473458	Chromosome	2019-10-10	VMED01
GCA_028022735.1	bGypBar2.pri	Gypaetus barbatus					bGypBar2	female		1365299843	Chromosome	2023-01-31	JAQMCM01
GCA_009819795.1	bAytFul2.pri	Aythya fuligula					bAytFul2	female		1126988109	Chromosome	2019-12-31	WNMM01
GCF_009819795.1	bAytFul2.pri	Aythya fuligula					bAytFul2	female	NCBI Annotation Release 100	1126988109	Chromosome	2019-12-31	WNMM01
GCA_020746105.1	bTroSur1.pri.cur	Trogon surrucura					bTroSur1	female		1165727389	Chromosome	2021-11-05	JAJGST01
GCA_901933205.1	STF_HiC	Camarhynchus parvulus								1051609828	Chromosome	2019-09-06	CABFNF01
GCF_901933205.1	STF_HiC	Camarhynchus parvulus							NCBI Annotation Release 100	1051609828	Chromosome	2019-09-06	CABFNF01
GCA_028500815.1	bRisTri1.patW.cur.20221130	Rissa tridactyla					bRisTri1	female		1353621101	Chromosome	2023-02-09	JAPUFG01
GCF_028500815.1	bRisTri1.patW.cur.20221130	Rissa tridactyla					bRisTri1	female	GCF_028500815.1-RS_2023_03	1353621101	Chromosome	2023-02-09	JAPUFG01
GCA_017639485.1	bPluApr1.pri	Pluvialis apricaria					bPluApr1	female		1247746888	Chromosome	2021-03-30	JAGGDV01
GCF_017639655.2	bFalNau1.pat	Falco naumanni					bFalNau1	female	NCBI eukaryotic genome annotation pipeline	1215702009	Chromosome	2021-03-30	JAGFVS01
GCA_020800305.1	bPorHoc1.mat.Z.cur	Porphyrio hochstetteri					bPorHoc1	female		1270277365	Chromosome	2021-11-08	JAJHSY01
GCA_009769605.1	bBucAby1.pri	Bucorvus abyssinicus					bBucAby1	female		1132597561	Chromosome	2019-12-23	WNMG01
GCA_027579445.1	bAmmNel1.pri	Ammospiza nelsoni					bAmmNel1	female		1185463352	Chromosome	2023-01-09	JAQCNT01
GCA_023079485.1	ASM2307948v1	Archilochus colubris				Toronto	gmoney_hbird	female		1100570460	Chromosome	2022-04-22	JALBCY01
GCA_028020825.1	bPodStr1.pri	Podargus strigoides					bPodStr1	female		1271141449	Chromosome	2023-01-31	JAQJZH01
GCA_949628215.1	bGulAri2.1	Phalacrocorax aristotelis								1279116138	Chromosome	2023-04-08	CATIVG01
GCA_027574665.1	bRhyJub1.pri	Rhynochetos jubatus					bRhyJub1	female		1331454348	Chromosome	2023-01-09	JAQBHY01
GCA_028018845.1	bMelGeo1.pri	Melospiza georgiana					bMelGeo1	female		1162015399	Chromosome	2023-01-31	JAQMCQ01
GCF_028018845.1	bMelGeo1.pri	Melospiza georgiana					bMelGeo1	female	GCF_028018845.1-RS_2023_07	1162015399	Chromosome	2023-01-31	JAQMCQ01
GCA_004027225.2	bStrHab1.2.pri	Strigops habroptila					Jane	female		1148597545	Chromosome	2020-03-04	RXXE02
GCF_004027225.2	bStrHab1.2.pri	Strigops habroptila					Jane	female	NCBI Annotation Release 101	1148597545	Chromosome	2020-03-04	RXXE02
GCA_951416345.1	bSomMol1.h2.1	Somateria mollissima								1079261109	Chromosome	2023-06-27	CATOCC01
GCA_027791375.2	UM_Iind_1.1	Indicator indicator					239-I01	female		1147325966	Chromosome	2023-01-13	JAQHUL01
GCF_027791375.1	UM_Iind_1.1	Indicator indicator					239-I01	female	GCF_027791375.1-RS_2023_03	1147325966	Chromosome	2023-01-13	JAQHUL01
GCA_009769625.2	bCygOlo1.pri.v2	Cygnus olor					bCygOlo1	male		1134169903	Chromosome	2021-03-31	WNMI02
GCF_009769625.2	bCygOlo1.pri.v2	Cygnus olor					bCygOlo1	male	NCBI Annotation Release 100	1134169903	Chromosome	2021-03-31	WNMI02
GCA_027887145.1	bAmmCau1.pri	Ammospiza caudacuta					bAmmCau1	female		1241209685	Chromosome	2023-01-18	JAQIHB01
GCA_021018805.1	Cam_Psub_1.0	Prinia subflava				Zambia	CZ2003	female		1123310866	Chromosome	2021-12-02	JAIOWR01
GCA_029582105.1	OMel1.0	Oenanthe melanoleuca					GR-GAL-2019-014	male		1036256795	Chromosome	2023-04-06	JARJVX01
GCF_029582105.1	OMel1.0	Oenanthe melanoleuca					GR-GAL-2019-014	male	GCF_029582105.1-RS_2023_05	1036256795	Chromosome	2023-04-06	JARJVX01
GCA_024509145.1	ASM2450914v1	Vidua macroura					BioBank_ID:100142	female		1123252761	Chromosome	2022-08-03	JAMGYM01
GCF_024509145.1	ASM2450914v1	Vidua macroura					BioBank_ID:100142	female	GCF_024509145.1-RS_2023_03	1123252761	Chromosome	2022-08-03	JAMGYM01
GCA_009819655.1	bSylAtr1.pri	Sylvia atricapilla					bSylAtr1	female		1066786587	Chromosome	2019-12-31	WNMY01
GCA_901699155.2	bStrTur1.2	Streptopelia turtur								1178816852	Chromosome	2021-05-17	CABFKC02
GCA_009764595.1	bGeoTri1.pri	Geothlypis trichas					bGeoTri1	female		1078128490	Chromosome	2019-12-19	WSPJ01
GCA_951394365.1	bTetUro1.1	Tetrao urogallus								1013167347	Chromosome	2023-06-15	CATOBR01
GCA_015227895.2	Caur_TTU_1.0	Colaptes auratus				New Mexico				1378187165	Chromosome	2021-12-06	JAAWVA01
GCA_015883425.2	CU_Lasu_v2	Lamprotornis superbus					SS15	female	Annotation submitted by Columbia University	1068005652	Chromosome	2022-03-24	JADDUC02
GCA_018697195.1	ASM1869719v1	Certhia americana					MSB:Bird:48106			1113356413	Chromosome	2021-06-03	JAGMWU01
GCA_017639355.1	Aaes_hic	Amazona aestiva					AMXYW	female		1130393257	Chromosome	2021-03-30	JAESHV01
GCA_013398505.2	LSU_RhHo_2.0	Rhegmatorhina hoffmannsi					OUT-0010	female		1066555733	Chromosome	2021-04-30	VZSN02
GCA_001746935.2	mywa_2.1	Setophaga coronata coronata					EE26A12	male		1022634526	Chromosome	2020-12-08	MDLI02
GCA_017639245.1	MMon_1.0	Myiopsitta monachus					fujian	female		1168583304	Chromosome	2021-03-30	JAESHU01
GCA_028769735.1	RI_Zleu_1.0	Zonotrichia leucophrys	gambelii				GWCS_2022_RI	female		1125514508	Chromosome	2023-02-22	JAPPSN01
GCA_030408155.1	ASM3040815v1	Lophura swinhoii					LX0611	female		1144026423	Chromosome	2023-07-05	JASCYN01
GCA_019023105.1	LSU_DiBr_2.0	Diglossa brunneiventris					B-95988	female		1079473785	Chromosome	2021-06-24	JAFCGX01
GCA_011077185.1	BPBGC_Ojam_1.0	Oxyura jamaicensis	ruddy duck				SHBP4307	female		1147585764	Chromosome	2020-03-10	JAACYN01
GCF_011077185.1	BPBGC_Ojam_1.0	Oxyura jamaicensis	ruddy duck				SHBP4307	female	NCBI Annotation Release 100	1147585764	Chromosome	2020-03-10	JAACYN01
GCA_910950805.1	RW_assembly	Acrocephalus scirpaceus scirpaceus								1075083815	Chromosome	2021-08-16	CAJVGK01
GCA_009741485.1	mCya_1.0	Malurus cyaneus samueli						female		1078874851	Chromosome	2019-12-12	VKON01
GCA_011075105.1	BPBGC_Hatr_1.0	Heteronetta atricapilla	black-headed duck				SHBP4307	female		1151864095	Chromosome	2020-03-10	JAACYQ01
GCA_011074415.1	BPBGC_Snae_1.0	Stictonetta naevosa	freckled duck				SHBPF4130	female		1132682184	Chromosome	2020-03-10	JAACYO01
GCA_011076525.1	BPBGC_Naur_1.0	Nettapus auritus	African pygmy goose				SHBP007	female		1134521068	Chromosome	2020-03-10	JAACYP01
GCA_002901205.1	cyaCae2	Cyanistes caeruleus					BT333_1	male		1186980630	Scaffold	2018-01-26	PDCF01
GCF_002901205.1	cyaCae2	Cyanistes caeruleus					BT333_1	male	NCBI Annotation Release 100	1186980630	Scaffold	2018-01-26	PDCF01
GCA_003259725.1	athCun1	Athene cunicularia					RWA	male		1157069330	Scaffold	2018-06-21	QEEU01
GCF_003259725.1	athCun1	Athene cunicularia					RWA	male	NCBI Annotation Release 100	1157069330	Scaffold	2018-06-21	QEEU01
GCA_003286495.1	ASM328649v1	Chlorodrepanis virens					USGS aluminum band 1771-10606	female		1086507881	Scaffold	2018-07-02	LTAT01
GCA_002166845.1	GooseV1.0	Anser cygnoides	Sichuan white goose				SCWG-2014			1130276682	Scaffold	2017-06-02	LABU01
GCF_002166845.1	GooseV1.0	Anser cygnoides	Sichuan white goose				SCWG-2014		NCBI Annotation Release 100	1130276682	Scaffold	2017-06-02	LABU01
GCA_000337935.1	Cliv_1.0	Columba livia	Danish Tumbler					male	Annotation submitted by BGI	1107971856	Scaffold	2013-02-11	AKCR01
GCF_000337935.1	Cliv_1.0	Columba livia	Danish Tumbler					male	NCBI Annotation Release 102	1107971856	Scaffold	2013-02-11	AKCR01
GCA_003342905.1	droNov1	Dromaius novaehollandiae					6597	male		1192237364	Scaffold	2018-07-26	PTEY01
GCF_003342905.1	droNov1	Dromaius novaehollandiae					6597	male	NCBI Annotation Release 100	1192237364	Scaffold	2018-07-26	PTEY01
GCA_000385455.1	Zonotrichia_albicollis-1.0.1	Zonotrichia albicollis					Tan morph	male		1052600561	Scaffold	2013-04-30	ARWJ01
GCF_000385455.1	Zonotrichia_albicollis-1.0.1	Zonotrichia albicollis					Tan morph	male	NCBI Annotation Release 102	1052600561	Scaffold	2013-04-30	ARWJ01
GCA_008692595.2	Cv_LA_2.0	Colinus virginianus					B-91918	female		948524131	Scaffold	2021-04-29	VONY02
GCA_000698965.1	ASM69896v1	Struthio camelus australis					BGI_N308	female	Annotation submitted by BGI	1225025301	Scaffold	2014-06-06	JJRT01
GCF_000698965.1	ASM69896v1	Struthio camelus australis					BGI_N308	female	NCBI Annotation Release 100	1225025301	Scaffold	2014-06-06	JJRT01
GCA_000331425.1	PseHum1.0	Pseudopodoces humilis								1042980823	Scaffold	2013-01-11	ANZD01
GCF_000331425.1	PseHum1.0	Pseudopodoces humilis							NCBI Annotation Release 101	1042980823	Scaffold	2013-01-11	ANZD01
GCA_002002985.1	Grus japonensis_ver1.0	Grus japonensis					451A			1265634512	Scaffold	2017-02-10	BDFG01
GCA_022749695.1	bMelMel1.0.p	Melospiza melodia				gouldii	PMB2087b	female		1356304709	Scaffold	2022-03-29	JALCYL01
GCA_947331505.1	ASM94733150v1	Alectoris rufa								1142509937	Scaffold	2023-01-09	CAMZON01
GCA_018691265.1	T.alba_DEE_v4.0	Tyto alba					M040663	male		1249867532	Scaffold	2021-06-03	JAEUGV01
GCF_018691265.1	T.alba_DEE_v4.0	Tyto alba					M040663	male	NCBI Annotation Release 102	1249867532	Scaffold	2021-06-03	JAEUGV01
GCA_025960845.1	Bayl_Tbic_1.1	Tachycineta bicolor					S2			1172536026	Scaffold	2022-11-02	JANEHK01
GCA_003413605.1	Chrysolophus_pictus_GenomeV1.0	Chrysolophus pictus	wild golden pheasant					male		1023990748	Scaffold	2018-08-20	JRFT01
GCA_000708225.1	ASM70822v1	Nipponia nippon					BGI_Y956	male	Annotation submitted by College of Medicine and Forensics, Xi'an Jiaotong University	1223846297	Scaffold	2014-06-16	JMFH01
GCF_000708225.1	ASM70822v1	Nipponia nippon					BGI_Y956	male	NCBI Annotation Release 100	1223846297	Scaffold	2014-06-16	JMFH01
GCA_021963965.1	bArtBel1.0.p	Artemisiospiza belli				canescens	MVZ Bird 192114	female		1401802035	Scaffold	2022-02-04	JAKDEW01
GCA_024362935.1	bSetPet1.0.p	Setophaga petechia					LACM:Birds122168	female		1222368263	Scaffold	2022-07-22	JANCRA01
GCA_021513735.1	PavCris_1.0	Pavo cristatus					JXP	female		1046701547	Scaffold	2022-01-19	JAIFWW01
GCA_005890655.1	Cmin_1.0	Centrocercus minimus					UT7	male		1000026669	Scaffold	2019-06-14	SPOS01
GCA_014805655.1	ASM1480565v1	Passer montanus					IOZ18808	pooled male and female		1039949367	Scaffold	2020-09-30	JABBVY01
GCF_014805655.1	ASM1480565v1	Passer montanus					IOZ18808	pooled male and female	NCBI Annotation Release 100	1039949367	Scaffold	2020-09-30	JABBVY01
GCA_001715985.3	ASM171598v3	Manacus vitellinus					BGI_N305	female		1072328541	Scaffold	2019-07-03	MCBO03
GCF_001715985.3	ASM171598v3	Manacus vitellinus					BGI_N305	female	NCBI Annotation Release 103	1072328541	Scaffold	2019-07-03	MCBO03
GCA_001447265.1	Sturnus_vulgaris-1.0	Sturnus vulgaris					715	male		1036755994	Scaffold	2015-11-20	LNCF01
GCF_001447265.1	Sturnus_vulgaris-1.0	Sturnus vulgaris					715	male	NCBI Annotation Release 100	1036755994	Scaffold	2015-11-20	LNCF01
GCA_010087175.1	BGI_Apat.V1	Aptenodytes patagonicus					KP FORT 001		Annotation submitted by BGI-Shenzhen	1252291219	Scaffold	2020-01-31	VULM01
GCA_000737465.1	Haliaeetus_leucocephalus-4.0	Haliaeetus leucocephalus					CR32	male		1178409481	Scaffold	2014-08-04	JPRR01
GCF_000737465.1	Haliaeetus_leucocephalus-4.0	Haliaeetus leucocephalus					CR32	male	NCBI Annotation Release 100	1178409481	Scaffold	2014-08-04	JPRR01
GCA_030512405.1	ASM3051240v1	Pygoscelis papua					Gentoo_Falklands	female	Annotation submitted by BGI	1342884473	Scaffold	2023-07-20	JAGYXX01
GCA_000277835.1	GeoFor_1.0	Geospiza fortis						female		1065292181	Scaffold	2012-07-25	AKZB01
